Date,"Weight (kg)","Fat mass (kg)","Bone mass (kg)","Muscle mass (kg)","Hydration (kg)",Comments
"2019-09-06 06:44:28",94.63,,,,,
"2019-09-05 07:35:44",95.36,,,,,
"2019-09-04 12:09:27",94.78,,,,,
"2019-09-03 06:26:35",94.70,,,,,
"2019-09-02 07:12:01",94.75,,,,,
"2019-09-01 07:55:48",94.58,,,,,
"2019-08-31 08:45:18",94.46,,,,,
"2019-08-30 06:55:21",94.18,,,,,
"2019-08-29 10:32:44",94.54,,,,,
"2019-08-28 06:06:31",94.73,,,,,
"2019-08-27 07:11:17",94.62,,,,,
"2019-08-26 07:04:06",95.45,,,,,
"2019-08-25 09:55:43",95.28,,,,,
"2019-08-25 09:55:16",95.43,,,,,
"2019-08-24 08:35:08",95.59,,,,,
"2019-08-23 07:20:59",95.16,,,,,
"2019-08-22 06:57:01",95.27,,,,,
"2019-08-21 07:14:11",95.65,,,,,
"2019-08-20 10:06:03",96.04,,,,,
"2019-08-19 08:52:44",96.79,,,,,
"2019-08-18 10:24:56",96.22,,,,,
"2019-08-17 12:50:33",96.65,,,,,
"2019-08-16 09:36:17",96.02,,,,,
"2019-08-15 10:22:48",96.39,,,,,
"2019-08-15 08:00:38",96.71,,,,,
"2019-08-14 09:58:09",96.58,,,,,
"2019-08-11 11:20:09",96.45,,,,,
"2019-08-10 08:42:55",96.97,,,,,
"2019-08-09 06:37:20",97.45,,,,,
"2019-08-08 08:19:38",97.81,,,,,
"2019-08-05 07:19:29",97.65,,,,,
"2019-08-04 07:41:02",98.66,,,,,
"2019-08-03 09:08:39",96.19,,,,,
"2019-08-02 06:48:21",95.63,,,,,
"2019-08-01 09:44:24",96.25,,,,,
"2019-07-31 07:15:14",96.98,,,,,
"2019-07-30 06:46:27",96.63,,,,,
"2019-07-29 07:28:06",97.04,,,,,
"2019-07-29 07:27:40",96.95,,,,,
"2019-07-28 08:34:37",97.35,,,,,
"2019-07-27 08:03:04",98.11,,,,,
"2019-07-26 08:26:31",97.45,,,,,
"2019-07-25 09:47:43",97.69,,,,,
"2019-07-24 08:05:35",97.70,,,,,
"2019-07-23 09:11:23",98.35,,,,,
"2019-07-22 10:14:37",98.43,,,,,
"2019-07-20 10:21:58",96.46,,,,,
"2019-07-19 06:48:14",97.06,,,,,
"2019-07-18 07:07:46",98.17,,,,,
"2019-07-17 06:59:31",97.86,,,,,
"2019-07-16 06:35:14",98.22,,,,,
"2019-07-15 06:57:45",98.25,,,,,
"2019-07-14 07:23:39",98.48,,,,,
"2019-07-13 08:08:19",98.26,,,,,
"2019-07-12 06:53:57",97.65,,,,,
"2019-07-11 07:16:50",97.99,,,,,
"2019-07-10 07:16:59",97.78,,,,,
"2019-07-09 06:42:37",98.66,,,,,
"2019-07-08 08:49:35",99.39,,,,,
"2019-07-08 08:49:08",99.52,,,,,
"2019-07-07 09:46:19",99.34,,,,,
"2019-07-06 11:42:18",98.23,,,,,
"2019-07-05 07:10:01",99.26,,,,,
"2019-07-04 07:57:16",98.86,,,,,
"2019-07-03 07:26:30",98.66,,,,,
"2019-07-02 07:23:24",98.28,,,,,
"2019-07-01 06:51:46",98.14,,,,,
"2019-06-30 08:41:06",98.09,,,,,
"2019-06-29 08:33:46",98.52,,,,,
"2019-06-28 07:32:08",99.44,,,,,
"2019-06-27 06:21:27",98.73,,,,,
"2019-06-26 06:40:55",99.02,,,,,
"2019-06-25 06:27:34",98.80,,,,,
"2019-06-24 06:41:42",99.21,,,,,
"2019-06-23 07:40:38",98.84,,,,,
"2019-06-22 07:23:14",99.85,,,,,
"2019-06-21 06:36:05",99.79,,,,,
"2019-06-20 06:21:10",99.48,,,,,
"2019-06-19 06:27:26",99.23,,,,,
"2019-06-18 06:11:53",99.34,,,,,
"2019-06-17 06:08:00",101.15,,,,,
"2019-06-16 08:01:14",100.50,,,,,
"2019-06-16 07:58:22",100.40,,,,,
"2019-06-15 06:50:42",100.64,,,,,
"2019-06-15 06:50:22",100.62,,,,,
"2019-06-14 06:45:11",101.13,,,,,
"2019-06-13 06:41:00",100.91,,,,,
"2019-06-12 06:28:29",100.86,,,,,
"2019-06-11 06:22:19",101.09,,,,,
"2019-06-10 08:40:44",101.06,,,,,
"2019-06-09 07:29:31",101.30,,,,,
"2019-06-08 08:56:54",101.44,,,,,
"2019-06-07 06:53:16",100.84,,,,,
"2019-06-06 06:43:57",100.94,,,,,
"2019-06-05 06:48:02",101.60,,,,,
"2019-06-04 06:39:00",102.30,,,,,
"2019-06-03 06:38:36",102.53,,,,,
"2019-06-02 08:10:39",102.55,,,,,
"2019-05-31 06:59:25",101.37,,,,,
"2019-05-30 08:44:38",103.81,,,,,
"2019-05-29 10:34:53",104.08,,,,,
"2019-05-29 10:33:36",104.16,,,,,
